metric_date,open,high,low,close,volume,market_cap,mcap_weekly_growth,mcap_weekly_change,crypto,type
2024-03-03,9.66733785e-06,2.354067714e-05,9.48263382e-06,2.251178858e-05,16417197376.28,13265959753.72,132.88489775119982,7569600787.629999,Shiba Inu,cryptocoins
2024-03-10,2.251438443e-05,4.533996891e-05,2.167403212e-05,3.281541077e-05,45038420873.9,19337774077.52,45.76988349521687,6071814323.800001,Shiba Inu,cryptocoins
2024-03-17,3.281560801e-05,3.513215076e-05,2.39799905e-05,2.952109544e-05,15124741279.11,17396468939.28,-10.038927595584813,-1941305138.2400017,Shiba Inu,cryptocoins
2024-03-24,2.944894829e-05,2.950105684e-05,2.378819529e-05,2.80576182e-05,9963052996.29,16534057298.79,-4.957394764995859,-862411640.4899979,Shiba Inu,cryptocoins
2024-03-31,2.80576182e-05,3.272014621e-05,2.749099768e-05,3.074509267e-05,8977073655.789999,18117757542.72,9.578412698774773,1583700243.9300003,Shiba Inu,cryptocoins
2024-04-07,3.074509267e-05,3.074542214e-05,2.559729413e-05,2.81953894e-05,4951388718.29,16615244404.5,-8.293041424564896,-1502513138.2200012,Shiba Inu,cryptocoins
2024-04-14,2.81953894e-05,2.938999288e-05,1.852763242e-05,2.272979071e-05,6240146005.6,13394424974.12,-19.384724966836398,-3220819430.379999,Shiba Inu,cryptocoins
2024-04-21,2.272979071e-05,2.807448666e-05,2.09198603e-05,2.629034667e-05,5612730955.91,15492213256.5,15.661652414592142,2097788282.3799992,Shiba Inu,cryptocoins
2024-04-28,2.628965152e-05,2.795837009e-05,2.40612972e-05,2.422632179e-05,4422247764.61,14276435738.23,-7.8476683617810465,-1215777518.2700005,Shiba Inu,cryptocoins
2024-05-05,2.422652686e-05,2.615124271e-05,2.070655627e-05,2.472419808e-05,4740790875.74,14569692986.54,2.0541348953416083,293257248.3100014,Shiba Inu,cryptocoins
2024-05-12,2.47241724e-05,2.566662303e-05,2.215544835e-05,2.232249347e-05,2553844285.46,13154409026.78,-9.71389006664375,-1415283959.7600002,Shiba Inu,cryptocoins
2024-05-19,2.232249347e-05,2.577445757e-05,2.159048432e-05,2.386125991e-05,4959140263.67,14060769823.89,6.890167359588806,906360797.1099987,Shiba Inu,cryptocoins
2024-05-26,2.386150066e-05,2.676298744e-05,2.352110514e-05,2.431914019e-05,4887437035.58,14330584751.28,1.9189200219434044,269814927.3900013,Shiba Inu,cryptocoins
2024-06-02,2.431914019e-05,2.933346045e-05,2.408576369e-05,2.462311602e-05,6975707894.280001,14509708504.96,1.2499402975443719,179123753.6799984,Shiba Inu,cryptocoins
2024-06-09,2.462284117e-05,2.626609067e-05,2.199218774e-05,2.34952597e-05,4297267245.93,13845093448.41,-4.58048524078073,-664615056.5499992,Shiba Inu,cryptocoins
2024-06-16,2.349241625e-05,2.357788795e-05,1.965256452e-05,2.091588312e-05,3471684307.83,12325131288.21,-10.978345259017065,-1519962160.2000008,Shiba Inu,cryptocoins
2024-06-23,2.091722917e-05,2.103721497e-05,1.730311044e-05,1.75162237e-05,2260295429.46,10321807595.2,-16.253974470246348,-2003323693.0099983,Shiba Inu,cryptocoins
2024-06-30,1.751535263e-05,1.817802901e-05,1.641638681e-05,1.724077738e-05,1661209640.63,10159493667.21,-1.57253394323571,-162313927.99000168,Shiba Inu,cryptocoins
